class,uniprot_id,description,len,dataset
positive,A0A2X2RM75,A0A2X2RM75_CAPOC Thermostable beta-glucosidase B OS=Capnocytophaga ochracea OX=1018 GN=bglB PE=3 SV=1,731,train
positive,A0A174ZNH1,A0A174ZNH1_9FIRM Thermostable beta-glucosidase B OS=[Eubacterium] siraeum OX=39492 GN=bglB_1 PE=3 SV=1,752,train
positive,A0A1C6DJ25,A0A1C6DJ25_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_2 PE=3 SV=1,756,train
negative,A0A0H3D7L6,A0A0H3D7L6_AMYMU beta-glucosidase OS=Amycolatopsis mediterranei (strain U-32) OX=749927 GN=bglX PE=4 SV=1,765,train
positive,A0A1S8S8C1,A0A1S8S8C1_CLOBE Thermostable beta-glucosidase B OS=Clostridium beijerinckii OX=1520 GN=bglB_2 PE=3 SV=1,754,train
positive,A0A1G7I8G4,A0A1G7I8G4_THETY beta-glucosidase OS=Thermoanaerobacter thermohydrosulfuricus OX=1516 GN=SAMN04244560_00228 PE=3 SV=1,447,train
positive,K8E314,K8E314_CARML Thermostable beta-glucosidase B OS=Carnobacterium maltaromaticum LMA28 OX=1234679 GN=bglB PE=3 SV=2,782,train
positive,A0A0M0EGP5,A0A0M0EGP5_KOMEU Thermostable beta-glucosidase B OS=Komagataeibacter europaeus OX=33995 GN=bglB1 PE=3 SV=1,675,train
positive,A0A1I7NI20,A0A1I7NI20_9BACT beta-glucosidase OS=Thermoflavifilum thermophilum OX=1393122 GN=SAMN05660895_1958 PE=3 SV=1,761,train
negative,A0A1M7HQ29,A0A1M7HQ29_9FLAO beta-glucosidase OS=Salegentibacter salegens OX=143223 GN=SAMN05878281_0232 PE=4 SV=1,795,train
positive,D0MG00,D0MG00_RHOM4 beta-glucosidase OS=Rhodothermus marinus (strain ATCC 43812 / DSM 4252 / R-10) OX=518766 GN=Rmar_2616 PE=3 SV=1,615,train
negative,A0A660R267,A0A660R267_UNCVE Beta-glucosidase OS=Verrucomicrobiota bacterium OX=2026799 GN=DRP64_00655 PE=3 SV=1,453,train
positive,A0A2T0BIJ7,A0A2T0BIJ7_9CLOT Thermostable beta-glucosidase B OS=Clostridium vincentii OX=52704 GN=bglB_2 PE=3 SV=1,397,train
positive,A0A455SAI3,A0A455SAI3_9CHLR Beta-glucosidase OS=Thermosporothrix sp. COM3 OX=2490863 GN=KTC_02180 PE=3 SV=1,462,train
positive,A0A328VBC4,A0A328VBC4_9CHLR Beta-glucosidase OS=Thermogemmatispora tikiterensis OX=1825093 GN=A4R35_05520 PE=3 SV=1,456,train
positive,A0A1C5RUC6,A0A1C5RUC6_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_1 PE=3 SV=1,758,train
positive,A0A147KFJ2,A0A147KFJ2_THECS Beta-glucosidase OS=Thermobifida cellulosilytica TB100 OX=665004 GN=AC529_14095 PE=3 SV=1,484,train
negative,A0A4S9BC55,A0A4S9BC55_AURPU beta-glucosidase OS=Aureobasidium pullulans OX=5580 GN=D6D15_04455 PE=3 SV=1,639,train
positive,M4RQF6,M4RQF6_9BIFI beta-glucosidase OS=Bifidobacterium thermophilum RBL67 OX=1254439 GN=D805_0495 PE=4 SV=1,773,train
negative,A0A2E9CM61,A0A2E9CM61_9SPHN beta-glucosidase OS=Sphingobium sp OX=1912891 GN=CMN64_10645 PE=4 SV=1,637,train
negative,A0A4Y9SBR5,A0A4Y9SBR5_9BURK beta-glucosidase OS=Duganella callida OX=2561932 GN=E4L98_21925 PE=4 SV=1,740,train
positive,A0A174GWG1,A0A174GWG1_9FIRM Thermostable beta-glucosidase B OS=Blautia obeum OX=40520 GN=bglB_2 PE=3 SV=1,755,train
positive,A0A1W1WF67,A0A1W1WF67_SULTA Beta-glucosidase OS=Sulfobacillus thermosulfidooxidans (strain DSM 9293 / VKM B-1269 / AT-1) OX=929705 GN=SAMN00768000_1877 PE=3 SV=1,448,train
negative,A0A6N9UWW4,A0A6N9UWW4_9ACTN Beta-glucosidase OS=Streptomyces coelicoflavus OX=285562 GN=G3I46_37930 PE=3 SV=1,468,train
negative,A0A180FTH5,A0A180FTH5_9BACT Periplasmic beta-glucosidase OS=Bacteroidales bacterium Barb7 OX=1633203 GN=bglX PE=4 SV=1,759,train
negative,A0A4Q9KHT3,A0A4Q9KHT3_PROTD beta-glucosidase OS=Propioniciclava tarda OX=433330 GN=ET996_13325 PE=4 SV=1,755,train
positive,A0A644ZVT6,A0A644ZVT6_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_10 PE=3 SV=1,326,train
negative,A0A2N1UVZ9,A0A2N1UVZ9_9BACT Glycoside hydrolase family 1 protein (Fragment) OS=Candidatus Melainabacteria bacterium HGW-Melainabacteria-1 OX=2013813 GN=CVV27_10540 PE=3 SV=1,258,train
negative,A0A6P0UPR9,A0A6P0UPR9_9FLAO beta-glucosidase OS=Leptobacterium flavescens OX=472055 GN=bglX PE=3 SV=1,764,train
negative,A0A5M4AJR3,A0A5M4AJR3_9BACT beta-glucosidase OS=Prolixibacter sp. NT017 OX=2652390 GN=NT017_41160 PE=4 SV=1,232,train
negative,A0A1H8NYH1,A0A1H8NYH1_9BACE beta-glucosidase OS=Bacteroides sp. AR20 OX=93974 GN=SAMN02910431_04086 PE=3 SV=1,749,train
negative,A0A4R2PSR6,A0A4R2PSR6_9SPHN beta-glucosidase OS=Sphingomonas sp. BK235 OX=2512131 GN=EV292_101663 PE=4 SV=1,799,train
negative,C8WXU5,C8WXU5_ALIAD Beta-glucosidase OS=Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / BCRC 14685 / JCM 5260 / KCTC 1825 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-IA) OX=521098 GN=Aaci_1895 PE=3 SV=1,453,train
negative,A0A1U1C706,A0A1U1C706_9MYCO Beta-glucosidase OS=Mycobacteroides abscessus subsp. massiliense OX=1962118 GN=bglA PE=3 SV=1,461,train
negative,A0A5D0NLQ0,A0A5D0NLQ0_9ACTN beta-glucosidase OS=Microbispora tritici OX=2604471 GN=FXF59_31735 PE=3 SV=1,764,train
negative,A0A2P2G1Q8,A0A2P2G1Q8_AMYLU Beta-glucosidase OS=Amycolatopsis lurida NRRL 2430 OX=1460371 GN=BB31_04165 PE=3 SV=1,462,train
negative,A0A6L9QL61,A0A6L9QL61_9ACTN Beta-glucosidase OS=Actinomadura bangladeshensis OX=453573 GN=G3I70_26750 PE=3 SV=1,431,train
positive,A0A150KLU3,A0A150KLU3_9BACI Beta-glucosidase OS=Heyndrickxia sporothermodurans OX=46224 GN=B4102_3663 PE=3 SV=1,477,train
positive,A0A4U9CUQ6,A0A4U9CUQ6_RAOTE Thermostable beta-glucosidase B OS=Raoultella terrigena OX=577 GN=bglB PE=3 SV=1,783,train
positive,A0A160VJ28,A0A160VJ28_9ZZZZ beta-glucosidase OS=hydrothermal vent metagenome OX=652676 GN=MGWOODY_Mmi20 PE=3 SV=1,578,train
positive,D7BB48,D7BB48_ALLS1 beta-glucosidase OS=Allomeiothermus silvanus (strain ATCC 700542 / DSM 9946 / NBRC 106475 / NCIMB 13440 / VI-R2) OX=526227 GN=Mesil_0692 PE=4 SV=1,736,train
negative,A0A0S7BI70,A0A0S7BI70_9CHLR beta-glucosidase OS=Longilinea arvoryzae OX=360412 GN=LARV_01247 PE=4 SV=1,725,train
positive,A0A0U5NKU0,A0A0U5NKU0_9CLOT Thermostable beta-glucosidase B OS=Clostridium sp. C105KSO13 OX=1776045 GN=bglB_1 PE=3 SV=1,702,train
positive,G2R744,G2R744_THETT beta-glucosidase OS=Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) OX=578455 GN=THITE_2118136 PE=3 SV=1,777,train
positive,A0A1C5RVP4,A0A1C5RVP4_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_3 PE=3 SV=1,733,train
positive,A0A7C3RKY7,A0A7C3RKY7_DICTH Beta-glucosidase OS=Dictyoglomus thermophilum OX=14 GN=ENW00_08685 PE=3 SV=1,446,train
positive,A0A2A9HG54,A0A2A9HG54_TEPT2 Beta-glucosidase OS=Tepidiforma thermophila (strain KCTC 52669 / CGMCC 1.13589 / G233) OX=2761530 GN=A9A59_1329 PE=3 SV=1,446,train
positive,A0A7W0RH67,A0A7W0RH67_9ACTN Beta-glucosidase OS=Thermoleophilaceae bacterium OX=2732252 GN=H0U25_08895 PE=3 SV=1,449,train
positive,A0A3P8LHI0,A0A3P8LHI0_TSUPA Thermostable beta-glucosidase B OS=Tsukamurella paurometabola OX=2061 GN=bglB PE=3 SV=1,740,train
negative,A0A0N1NFH1,A0A0N1NFH1_9ACTN beta-glucosidase OS=Actinobacteria bacterium OK006 OX=1592326 GN=OK006_6052 PE=3 SV=1,788,train
positive,G2QTM7,G2QTM7_THETT beta-glucosidase OS=Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) OX=578455 GN=THITE_2110595 PE=3 SV=1,793,train
negative,W6Y6G3,W6Y6G3_COCC2 beta-glucosidase OS=Cochliobolus carbonum (strain 26-R-13) OX=930089 GN=COCCADRAFT_102988 PE=3 SV=1,633,train
positive,A0A7M1T9P8,A0A7M1T9P8_9BACT beta-glucosidase OS=Thermoflavifilum sp OX=1968839 GN=bglX PE=3 SV=1,761,train
negative,A0A2J0YZT1,A0A2J0YZT1_RHIML Beta-glucosidase OS=Rhizobium meliloti OX=382 GN=CEJ86_18570 PE=3 SV=1,457,train
negative,A0A412ZFJ6,A0A412ZFJ6_9FIRM beta-glucosidase OS=Enterocloster bolteae OX=208479 GN=DWW02_04300 PE=4 SV=1,747,train
positive,A0A6N2R6Z9,A0A6N2R6Z9_BACOV Thermostable beta-glucosidase B OS=Bacteroides ovatus OX=28116 GN=bglB_1 PE=3 SV=1,748,train
positive,A0A1I2AIV3,A0A1I2AIV3_9BACT beta-glucosidase OS=Thermophagus xiamenensis OX=385682 GN=SAMN05444380_11152 PE=3 SV=1,774,train
positive,W0ZC23,W0ZC23_9MICO Thermostable beta-glucosidase B OS=Microbacterium sp. C448 OX=1177594 GN=bglB PE=3 SV=1,749,train
